id,name,alias,type,x,y,height
62070,GS-2762,DSO_2832,node other,4080022.210691,3140750.103608,0
62071,IN-3548,,node other,4079491.44725,3140602.28005,0
62072,IN-3549,,node other,4079490.797667,3140414.604162,0
62073,IN-3546,,node other,4119171.307799,3070151.92983,0
62074,GS-2429,DSO_2831,node other,4119010.552301,3070002.118074,0
62075,IN-3560,,node other,4085947.856563,3145957.593635,0
62076,IN-3561,,node other,4086273.213028,3144816.040705,0
62077,IN-3555,,node other,4086443.806326,3142349.421334,0
62078,GS-3323,IND_0655,node other,4085970.683383,3141530.601923,0
62079,GS-3322,IND_0656,node other,4086354.488915,3142187.68187,0
62080,GS-2763,DSO_2837,node other,4085654.729724,3140716.128851,0
62081,GS-2859,DSO_2823,node other,4059597.558528,3139915.152036,0
62082,GS-2862,DSO_2819,node other,4061770.39258,3141319.265022,0
62083,GS-2696,DSO_2878,node other,4071113.180863,3144191.937365,0
62084,GS-2595,DSO_2827,node other,4068476.952535,3141719.775433,0
62085,IN-3544,,node other,4068442.180629,3142888.549403,0
62086,IN-3542,,node other,4065355.124712,3142393.990367,0
62087,GS-2593,DSO_2821,node other,4065395.060697,3142763.444643,0
62088,GS-2594,DSO_2820,node other,4065664.355817,3142766.6223,0
62089,IN-3547,,node other,4079436.08,3140586.751691,0
62090,GS-3073,DSO_2828,node other,4078065.285115,3140142.281466,0
62091,GS-3074,DSO_2829,node other,4077335.013858,3140114.273479,0
62092,IN-3541,,node other,4072521.779264,3145555.906661,0
62093,GS-2694,DSO_2822,node other,4072081.881447,3145416.01177,0
62094,GS-2860,DSO_2824,node other,4054626.120719,3141435.816558,0
62095,IN-3543,,node other,4054988.692815,3141280.556022,0
62096,GS-2863,DSO_2825,node other,4055143.921626,3141415.95818,0
62097,IN-3537,,node other,4094657.166905,3064871.534806,0
62098,GS-3016,DSO_2813,node other,4093786.608012,3065271.063375,0
62099,GS-3015,DSO_2814,node other,4092497.230666,3065219.284552,0
62100,GS-3017,DSO_2815,node other,4097555.81766,3063686.190073,0
62101,GS-3019,DSO_2853,node other,4105543.883428,3062045.999424,0
62102,GS-3304,IND_0654,node other,4095667.330291,3063073.211886,0
62103,IN-3538,,node other,4096188.504702,3064050.088935,0
62104,GS-3018,DSO_2830,node other,4095536.853677,3062814.753882,0
62105,GS-3014,DSO_2812,node other,4092098.709804,3065320.203725,0
62106,GS-2864,DSO_2816,node other,4061949.177935,3139894.892775,0
62107,GS-2861,DSO_2817,node other,4061981.110571,3140411.258577,0
62108,IN-3540,,node other,4062034.153894,3141269.278603,0
62109,IN-3581,,node other,4105573.667357,3062167.130288,0
62110,IN-3539,,node other,4096868.460081,3063952.995978,0
62111,IN-3580,,node other,4096859.344394,3063777.113167,0
62112,GS-3020,DSO_2867,node other,4107981.361618,3067715.266372,0
62113,IN-3513,,node other,4102731.864495,3090102.714496,0
62114,IN-3430,,node other,4102741.112175,3090088.179587,0
62115,GS-2423,DSO_2858,node other,4117170.788081,3073514.054849,0
62116,GS-2431,DSO_2865,node other,4113959.535056,3074613.95646,0
62117,IN-3433,,node other,4118527.164764,3070786.588162,0
62118,IN-3512,,node other,4102751.451898,3090094.533752,0
62119,IN-3435,,node other,4116813.360896,3073455.250136,0
62120,GS-2433,DSO_2859,node other,4116658.95244,3073768.54449,0
62121,GS-2279,IND_0669,node other,4064958.963517,3133255.559987,0
62122,IN-3436,,node other,4116741.484358,3073767.394115,0
62123,IN-3490,,node other,4116821.6098,3073463.831081,0
62124,IN-3438,,node other,4116741.241535,3073768.405777,0
62125,IN-3437,,node other,4116814.357097,3073455.433419,0
62126,IN-3434,,node other,4116825.024435,3073457.238371,0
62127,IN-3612,,node other,4097135.590885,3157579.205681,0
62128,GS-1797,DSO_2882,node other,4098959.701107,3088082.129087,0
62129,GS-3318,IND_0666,node other,4098706.994616,3087973.212829,0
62130,IN-3529,,node other,4098800.75345,3088064.489782,0
62131,GS-3347,IND_0671,node other,4103285.36568,3158210.113579,0
62132,GS-2169,IND_0667,node other,4097372.7694,3156835.054192,0
62133,IN-3533,,node other,4096355.607167,3157374.480228,0
62134,GS-3328,IND_0662,node other,4104307.687469,3112285.818968,0
62135,IN-3524,,node other,4098292.753633,3156325.062727,0
62136,GS-2838,DSO_2897,node other,4089355.408523,3154715.464288,0
62137,GS-3339,IND_0660,node other,4089060.501823,3154616.332167,0
62138,IN-3528,,node other,4076083.628859,3148713.592214,0
62139,GS-3291,IND_0668,node other,4096967.689006,3156520.025219,0
62140,IN-3514,,node other,4110198.184233,3069465.369305,0
62141,GS-3340,IND_0659,node other,4084678.028444,3157231.70322,0
62142,GS-0552,blending_0012,node other,4096109.316863,3157643.706341,0
62143,IN-3521,,node other,4095737.704381,3157301.67034,0
62144,IN-3532,,node other,4095833.830496,3157500.11663,0
62145,IN-3531,,node other,4095745.547166,3157428.299786,0
62146,IN-3530,,node other,4095932.760646,3157479.68133,0
62147,GS-2697,DSO_2852,node other,4072644.534317,3145713.005358,0
62148,IN-3517,,node other,4076254.964535,3145738.630532,0
62149,GS-3305,IND_0658,node other,4110997.282763,3068708.098602,0
62150,IN-3515,,node other,4110198.774517,3069464.23178,0
62151,IN-3501,,node other,4102913.052817,3102280.490827,0
62152,IN-3500,,node other,4104519.086668,3085083.659043,0
62153,GS-2434,DSO_2850,node other,4119088.858822,3068400.830846,0
62154,IN-3497,,node other,4107642.076114,3107758.978354,0
62155,IN-3489,,node other,4119097.283139,3068167.587681,0
62156,GS-2097,IND_0664,node other,4094009.127261,3157533.760283,0
62157,IN-3520,,node other,4094439.085487,3157509.167508,0
62158,IN-3525,,node other,4094270.793475,3157522.265712,0
62159,IN-3468,,node other,4075978.415301,3137698.291829,0
62160,IN-3460,,node other,4089084.507336,3145754.490731,0
62161,IN-3523,,node other,4087738.81454,3155936.717679,0
62162,IN-3522,,node other,4084499.005383,3157595.414079,0
62163,GS-2823,DSO_2856,node other,4088963.664861,3154665.208752,0
62164,IN-3458,,node other,4090022.584844,3156484.198668,0
62165,GS-2742,DSO_2848,node other,4102525.619847,3102670.819293,0
62166,GS-3338,IND_0661,node other,4087730.476966,3156065.649081,0
62167,IN-3519,,node other,4071183.430797,3144186.812016,0
62168,IN-3414,,node other,4071170.456945,3144209.508996,0
62169,IN-3518,,node other,4071184.120391,3144210.842611,0
62170,IN-3413,,node other,4071170.900329,3144208.595918,0
62171,IN-3411,,node other,4076288.270182,3145751.397021,0
62172,IN-3478,,node other,4079652.50185,3136712.192671,0
62173,IN-3550,,node other,4080637.531319,3137522.4435,0
62174,IN-3417,,node other,4080449.339414,3136485.210259,0
62175,IN-3416,,node other,4079656.473703,3136722.364305,0
62176,IN-3473,,node other,4069037.687942,3133912.043282,0
62177,IN-3535,,node other,4069937.966539,3135948.588479,0
62178,IN-3410,,node other,4069024.386459,3133914.372469,0
62179,IN-3534,,node other,4069084.797721,3135135.775648,0
62180,IN-3396,,node other,4099923.183077,3155758.256573,0
62181,IN-3504,,node other,4099910.456289,3155767.83346,0
62182,IN-3397,,node other,4099923.922409,3155757.667427,0
62183,IN-3400,,node other,4103127.665268,3158213.552818,0
62184,IN-3401,,node other,4103127.6917,3158212.549293,0
62185,GS-2695,DSO_2871,node other,4075936.993433,3148829.623475,0
62186,IN-3453,,node other,4076080.212198,3148690.362021,0
62187,IN-3452,,node other,4076056.521841,3148713.451886,0
62188,IN-3604,,node other,4071311.8948,3170270.987266,0
62189,IN-3455,,node other,4071425.93384,3171340.520779,0
62190,IN-3456,,node other,4071426.811437,3171340.031742,0
62191,IN-3507,,node other,4071439.392712,3171341.972569,0
62192,IN-3606,,node other,4071477.560576,3170280.627577,0
62193,IN-3493,,node other,4112282.335404,3075442.761259,0
62194,IN-3447,,node other,4112281.075134,3075434.238707,0
62195,IN-3494,,node other,4112273.080305,3075440.908669,0
62196,IN-3491,,node other,4110328.471576,3070188.250528,0
62197,GS-2435,DSO_2868,node other,4113354.049139,3066456.319661,0
62198,GS-2428,DSO_2866,node other,4113070.309675,3074916.366677,0
62199,IN-3448,,node other,4110338.8651,3070177.805741,0
62200,IN-3446,,node other,4112281.894431,3075433.537507,0
62201,GS-3012,DSO_2869,node other,4113651.22033,3065981.220279,0
62202,IN-3483,,node other,4119650.10534,3078111.646437,0
62203,IN-3444,,node other,4119097.731335,3068155.434598,0
62204,IN-3445,,node other,4119097.69951,3068156.437861,0
62205,IN-3488,,node other,4119106.5315,3068163.5524,0
62206,GS-3175,DSO_2863,node other,4124900.526005,3077378.862898,0
62207,GS-2432,DSO_2860,node other,4118368.231185,3070817.981465,0
62208,GS-3176,DSO_2864,node other,4122445.497111,3077694.772178,0
62209,IN-3486,,node other,4124890.112327,3077372.244791,0
62210,IN-2970,,node other,4154883.684183,3351014.843222,0
62211,IN-2730,,node other,4150813.470083,3353080.834242,0
62212,IN-3341,,node other,4148609.391119,3352615.714143,0
62213,IN-2971,,node other,4152846.069738,3353684.855807,0
62214,IN-2727,,node other,4152785.485786,3353706.894605,0
62215,IN-3345,,node other,4136071.694144,3348246.557033,0
62216,IN-3343,,node other,4148512.010565,3352739.789819,0
62217,IN-3344,,node other,4142739.740896,3350808.743861,0
62218,IN-2729,,node other,4148532.829134,3352347.716526,0
62219,IN-3179,,node other,4156550.613728,3342655.499681,0
62220,IN-2969,,node other,4156502.064015,3342627.07939,0
62221,IN-3326,,node other,4156647.040383,3342704.458228,0
62222,IN-3180,,node other,4156706.389553,3342633.853648,0
62223,IN-2725,,node other,4156556.090136,3342735.378473,0
62224,IN-3328,,node other,4156572.406166,3342586.389091,0
62225,IN-2728,,node other,4148202.309612,3352324.089138,0
62226,IN-3329,,node other,4156604.695557,3342624.60342,0
62227,GS-4199,DSO_2500,node other,4352203.696841,3245101.758436,0
62228,IN-2726,,node other,4155271.60604,3349750.789152,0
62229,IN-2968,,node other,4146893.355779,3344087.905532,0
62230,IN-3327,,node other,4156720.732147,3342710.871166,0
62231,IN-2962,,node other,4156601.887654,3342573.809248,0
62232,IN-2953,,node other,4210770.113372,3317061.253915,0
62233,IN-2954,,node other,4212577.832006,3316992.724126,0
62234,IN-2960,,node other,4201180.237627,3330004.93795,0
62235,IN-2959,,node other,4209231.676601,3326104.736623,0
62236,IN-2737,,node other,4217220.341522,3325954.394151,0
62237,GS-3930,DSO_2501,node other,4216362.250006,3334659.736132,0
62238,GS-4201,DSO_2507,node other,4352539.669277,3245299.947285,0
62239,IN-2740,,node other,4351826.085278,3244905.225576,0
62240,GS-7351,DSO_2505,node other,4214118.05577,3312110.983482,0
62241,IN-2956,,node other,4210770.113372,3317061.253915,0
62242,GS-0590,GPR_0026,node other,4212522.174251,3316708.001715,0
62243,IN-2879,,node other,4220867.967292,3323905.138497,0
62244,IN-2880,,node other,4230527.056496,3322605.048856,0
62245,IN-2736,,node other,4214553.595609,3315097.716879,0
62246,IN-3226,,node other,4134057.501498,3256696.621716,0
62247,IN-3171,,node other,4134046.706769,3256695.804244,0
62248,IN-3027,,node other,4134071.79092,3256697.975476,0
62249,GS-7339,DSO_2639,node other,4195891.247999,3303275.081591,0
62250,IN-2747,,node other,4134059.00232,3256696.676421,0
62251,IN-3224,,node other,4134069.561133,3256703.850627,0
62252,IN-3227,,node other,4134060.643412,3256696.837196,0
62253,IN-3225,,node other,4134055.159817,3256706.732967,0
62254,IN-2744,,node other,4257831.278234,3271811.839092,0
62255,IN-3317,,node other,4257672.17323,3271788.616416,0
62256,IN-2743,,node other,4255175.782978,3272189.866097,0
62257,GS-4043,TPP_0114,node other,4260664.028523,3270921.945107,0
62258,GS-3796,IND_0614,node other,4139104.851431,3266189.133852,0
62259,GS-3812,DSO_2506,node other,4139358.10665,3265905.533797,0
62260,IN-3170,,node other,4134017.897664,3256654.684685,0
62261,IN-3443,,node other,4120222.896825,3071441.975081,0
62262,GS-2796,DSO_2851,node other,4109241.972721,3107193.617211,0
62263,IN-3480,,node other,4120224.505762,3071450.708048,0
62264,GS-2424,DSO_2511,node other,4120522.056659,3071483.01762,0
62265,GS-3280,IND_0615,node other,4118231.605363,3069569.241761,0
62266,IN-2754,,node other,4118513.352423,3070882.0999,0
62267,IN-2755,,node other,4118519.961772,3071004.756865,0
62268,GS-3255,TPP_0117,node other,4109508.659325,3100394.045919,0
62269,GS-2326,TPP_0116,node other,4109412.818891,3100351.895523,0
62270,GS-3279,IND_0670,node other,4118210.788116,3069550.24065,0
62271,IN-3132,,node other,4110547.811349,3101643.030076,0
62272,IN-3205,,node other,4110538.599555,3101649.755095,0
62273,IN-2751,,node other,4140861.110523,3267617.126094,0
62274,GS-2740,DSO_2508,node other,4109425.559374,3100357.494782,0
62275,IN-2792,,node other,4110545.866103,3101653.911177,0
62276,IN-3025,,node other,4134695.929811,3257164.456917,0
62277,IN-3030,,node other,4143799.926696,3276634.943532,0
62278,IN-2749,,node other,4139484.206635,3264778.936587,0
62279,IN-2748,,node other,4143317.674153,3274557.084406,0
62280,GS-0986,DSO_2509,node other,4131994.500775,3097496.887319,0
62281,IN-3026,,node other,4134377.733157,3256728.420134,0
62282,IN-3029,,node other,4146575.978088,3286044.238633,0
62283,IN-3481,,node other,4120213.619824,3071448.793124,0
62284,IN-3074,,node other,4237544.783655,3372659.773891,0
62285,IN-2762,,node other,4237680.399185,3364450.361307,0
62286,GS-7314,DSO_2510,node other,4237543.972912,3372659.008819,0
62287,GS-2361,DSO_2657,node other,4133569.339971,3061751.565026,0
62288,IN-2996,,node other,4127393.326577,3068830.033263,0
62289,IN-2757,,node other,4125723.28404,3073948.813304,0
62290,GS-3821,DSO_2513,node other,4346203.674939,3225773.45349,0
62291,GS-3820,DSO_2514,node other,4341599.200854,3223365.893104,0
62292,IN-3487,,node other,4124895.189452,3077368.377807,0
62293,IN-2998,,node other,4120801.489231,3080099.066138,0
62294,IN-2997,,node other,4124695.861493,3077065.67388,0
62295,IN-2878,,node other,4255153.831358,3324658.503201,0
62296,IN-3324,,node other,4255134.50579,3324505.960564,0
62297,GS-0550,blending_0008,node other,4255145.881238,3324488.779186,0
62298,GS-3819,DSO_2515,node other,4336748.33939,3221407.238443,0
62299,IN-3323,,node other,4255094.695702,3324573.719051,0
62300,GS-4168,DSO_2516,node other,4264571.227068,3330283.32339,0
62301,IN-2770,,node other,4271779.330903,3336638.612828,0
62302,IN-3178,,node other,4255167.369924,3324529.221708,0
62303,IN-2882,,node other,4255233.037102,3324517.094658,0
62304,IN-3325,,node other,4255122.699426,3324471.84223,0
62305,GS-3816,DSO_2517,node other,4295185.380295,3242136.306309,0
62306,GS-3847,DSO_2518,node other,4293857.151295,3242748.824841,0
62307,IN-2913,,node other,4313804.27568,3223941.664953,0
62308,IN-2765,,node other,4316537.080116,3221792.532896,0
62309,GS-7317,DSO_2521,node other,4314402.442343,3169222.466624,0
62310,GS-3825,DSO_2525,node other,4311461.992914,3164847.283578,0
62311,IN-2777,,node other,4317025.873718,3172514.269581,0
62312,IN-2774,,node other,4321619.370733,3190247.019123,0
62313,IN-2775,,node other,4321094.069356,3192720.278717,0
62314,GS-0584,GPR_0021,node other,4320548.164407,3194717.278593,0
62315,IN-2776,,node other,4319709.634161,3181167.046679,0
62316,GS-3824,DSO_2526,node other,4319346.996532,3196899.662053,0
62317,IN-2778,,node other,4320462.764327,3206465.407359,0
62318,GS-4169,DSO_2716,node other,4261917.049632,3322701.59909,0
62319,GS-7315,DSO_2523,node other,4276014.365409,3339167.50532,0
62320,IN-2773,,node other,4310777.236512,3163700.084671,0
62321,GS-3813,DSO_2524,node other,4311032.399645,3164239.297228,0
62322,GS-7090,TPP_0118,node other,4109703.341813,3106676.476789,0
62323,GS-3251,TPP_0119,node other,4110117.4371,3104507.257741,0
62324,GS-3330,IND_0617,node other,4109791.418709,3105583.118944,0
62325,IN-2658,,node other,4180005.743484,3086353.501001,0
62326,GS-3054,DSO_2527,node other,4180358.622429,3087982.830312,0
62327,IN-2659,,node other,4153522.38942,3151653.68074,0
62328,GS-3032,DSO_2735,node other,4152110.862225,3147501.982196,0
62329,IN-2933,,node other,4151104.060673,3148693.822945,0
62330,IN-2660,,node other,4153047.865415,3149936.897895,0
62331,IN-2870,,node other,4152062.073841,3148183.702239,0
62332,IN-2921,,node other,4102342.127591,3158402.884037,0
62333,GS-7111,DSO_2531,node other,4102135.517966,3160116.221354,0
62334,GS-2247,IND_0619,node other,4101915.086786,3159745.286795,0
62335,IN-2661,,node other,4102118.503165,3158964.641579,0
62336,IN-2662,,node other,4101916.106945,3159738.337213,0
62337,GS-3788,IND_0629,node other,4193883.425292,3277758.29746,0
62338,IN-2786,,node other,4189975.17089,3276458.019523,0
62339,IN-2781,,node other,4175561.33789,3275179.479506,0
62340,IN-2782,,node other,4157854.345852,3269021.602188,0
62341,IN-2780,,node other,4167256.100971,3270851.026882,0
62342,IN-2924,,node other,4101931.93953,3159738.097735,0
62343,GS-3349,IND_0636,node other,4099626.754344,3161468.63461,0
62344,GS-2932,DSO_2686,node other,4102053.057424,3160180.933074,0
62345,IN-2665,,node other,4120643.475856,3079551.077438,0
62346,IN-2667,,node other,4145705.201145,3210328.631337,0
62347,GS-3382,IND_0618,node other,4120837.299074,3080400.17965,0
