node_name,node_type,impact_pct
DSO_2047,DSO,0.0
X_2013,X,0.0
X_3054,X,0.0
X_3140,X,0.0
DSO_1977,DSO,0.0
X_1823,X,0.0
IND_0422,IND,0.0
IND_0428,IND,0.0
X_1839,X,0.0
X_3134,X,0.0
X_2802,X,0.0
X_2109,X,0.0
X_1805,X,0.0011972104349949116
X_1804,X,0.0011972104349949116
X_1828,X,0.0
DSO_1980,DSO,0.0
X_1826,X,0.0
X_1817,X,0.0
X_1791,X,0.0
X_2316,X,0.0
X_1788,X,0.0
TPP_0086,TPP,0.0
IND_0418,IND,0.0
X_2581,X,0.0
X_2582,X,0.0
X_1790,X,0.0
X_1792,X,0.0
DSO_2869,DSO,0.0
DSO_1961,DSO,0.0
X_1806,X,0.0
X_1800,X,0.0
DSO_1966,DSO,0.0
DSO_1951,DSO,0.0
X_1787,X,0.0
X_2577,X,0.0
X_1799,X,0.0018910948945170323
X_2909,X,0.0
X_1838,X,0.0
DSO_1958,DSO,0.0
X_1801,X,0.0
BIO_0023,BIO,0.002743108031028782
DSO_1960,DSO,1.6612824491415287e-16
X_1798,X,0.0
DSO_2503,DSO,0.0
DSO_2505,DSO,0.0
DSO_1954,DSO,0.0
DSO_1955,DSO,0.0
X_1837,X,0.0
X_1795,X,0.0
X_1796,X,0.0
X_2760,X,0.0
DSO_2523,DSO,0.0
X_1843,X,0.0
X_1844,X,0.0
X_2667,X,0.0
X_2668,X,0.0
IND_0431,IND,0.0
IND_0578,IND,0.0
DSO_1986,DSO,0.0
X_2707,X,0.0
DSO_1993,DSO,0.0
X_2197,X,0.0
IND_0437,IND,0.0
X_1842,X,0.0
X_3197,X,0.0
X_3201,X,0.0
CS04-NY-00,CS,0.0
X_1846,X,0.0
X_1845,X,0.0
X_2190,X,0.0
IND_0433,IND,0.0
DSO_2873,DSO,0.0
DSO_2874,DSO,0.0
X_1849,X,0.0
X_1853,X,0.0
IND_0436,IND,0.0
IND_0495,IND,0.0
DSO_2149,DSO,0.0
DSO_1996,DSO,0.0
X_1794,X,0.0
IND_0434,IND,0.0
DSO_2003,DSO,0.0
DSO_2002,DSO,0.0
X_1873,X,0.0
DSO_1992,DSO,0.0
X_2073,X,0.0
IND_0432,IND,0.0
DSO_1987,DSO,0.0
X_2911,X,0.0
DSO_2781,DSO,0.0
X_2908,X,0.0
X_3190,X,0.0
X_2953,X,0.0
X_3189,X,0.0
X_2669,X,0.0
DSO_1985,DSO,0.0
IND_0563,IND,0.0
DSO_1982,DSO,0.0
X_2315,X,0.0
DSO_1988,DSO,0.0
X_1831,X,0.0
X_1834,X,0.0
X_2311,X,0.0
X_1833,X,0.0
X_1836,X,0.0
X_1835,X,0.0
IND_0584,IND,0.0
IND_0426,IND,0.0
IND_0427,IND,0.0
X_1847,X,0.0
DSO_1989,DSO,0.0
IND_0614,IND,0.0
DSO_2676,DSO,0.0
IND_0430,IND,0.0
DSO_1990,DSO,0.0
DSO_1994,DSO,0.0
X_1848,X,0.0
DSO_1995,DSO,0.0
X_1840,X,0.0
X_1841,X,0.0
X_1894,X,0.0
X_2111,X,0.0
X_1895,X,0.0
DSO_2009,DSO,0.0
X_2100,X,0.0
DSO_2474,DSO,0.0
DSO_2772,DSO,0.0
X_1960,X,0.0
DSO_2024,DSO,0.0
X_1935,X,0.0
DSO_2020,DSO,0.0
X_1892,X,0.0
DSO_2025,DSO,0.0
X_1943,X,0.0
X_1926,X,0.0
X_1891,X,0.0
X_1925,X,0.0
X_1950,X,0.0
DSO_1981,DSO,0.0
X_1955,X,0.0
X_1893,X,0.0
X_1830,X,0.0
DSO_1979,DSO,0.0
DSO_2926,DSO,0.0
DSO_2927,DSO,0.0
X_1832,X,0.0
X_1829,X,0.0
IND_0424,IND,0.0
X_1825,X,0.0
DSO_1983,DSO,0.0
DSO_1984,DSO,0.0
X_1827,X,0.0
DSO_2091,DSO,0.0
DSO_2000,DSO,0.0
IND_0645,IND,0.0
X_2072,X,0.0
CS27-CS,CS,0.0
DSO_2092,DSO,0.0
X_1874,X,0.0
X_1877,X,0.0
X_1880,X,0.0
CS33-NY-11,CS,0.0
CS24-CS,CS,0.009017409051187109
DSO_1998,DSO,0.0
X_1867,X,0.0
DSO_1999,DSO,0.0
TPP_0087,TPP,0.0
X_1863,X,0.0
X_1865,X,0.0
CS25-CS,CS,0.018154428881521766
X_1876,X,0.0
CS35-CS,CS,0.01441030461505402
X_1875,X,0.0
X_1857,X,0.0
CS33-NY-10,CS,0.0
X_3296,X,0.0
CS30-CS,CS,0.0
X_3400,X,0.0
X_3262,X,0.0
X_2212,X,0.0
IND_0479,IND,0.0
IND_0503,IND,0.0
IND_0439,IND,0.0
X_1864,X,0.0
CS23-CS,CS,0.0
X_1936,X,0.0
DSO_2017,DSO,0.0
X_1933,X,0.0
X_0445,X,0.0
CS29-CS,CS,0.019961050743931504
X_2731,X,0.0
X_1858,X,0.0
X_1859,X,0.0
X_2730,X,0.0
X_1856,X,0.0
X_2113,X,0.0
X_2112,X,0.0
X_1890,X,0.0
X_1889,X,0.0
CS28-CS,CS,0.001985940825273722
CS00-CS,CS,0.0
IND_0442,IND,0.0
CS04-NY-01,CS,0.0
CS47-CS,CS,0.010596782233583263
X_2114,X,0.0
X_2009,X,0.0
CS02-CS,CS,0.0
IND_0443,IND,0.0
X_1952,X,0.0
CS41-CS,CS,0.0
X_1953,X,0.0
X_1887,X,0.0
X_1885,X,0.0
CS42-CS,CS,0.0
X_1902,X,0.0
DSO_2010,DSO,0.0
X_1881,X,0.0
CS38-CS,CS,1.6612824491415287e-16
X_1948,X,0.0
X_1951,X,0.0
X_1919,X,0.0
X_1949,X,0.0
CS39-CS,CS,0.0
X_1882,X,0.0
X_1888,X,0.0
X_1884,X,0.0
DSO_2033,DSO,0.0
X_1964,X,0.0
CS44-CS,CS,0.0
DSO_2032,DSO,0.0
CS43-CS,CS,0.0
X_1965,X,0.0
DSO_2110,DSO,0.0
CS40-CS,CS,0.0
X_1879,X,0.0
DSO_2007,DSO,0.0
